frame	ulx	uly	urx	ury	lrx	lry	llx	lly
frame00001.jpg 334.00 318.00 442.00 318.00 450.00 462.00 342.00 462.00
frame00002.jpg 334.15 318.25 441.53 317.83 449.41 460.27 342.03 460.69
frame00003.jpg 334.11 318.15 441.63 318.05 449.51 461.05 341.99 461.15
frame00004.jpg 334.27 318.32 441.34 317.59 448.82 459.51 341.75 460.24
frame00005.jpg 334.12 318.18 441.71 317.97 449.79 460.49 342.20 460.70
frame00006.jpg 334.21 318.25 441.10 318.00 448.74 460.21 341.85 460.45
frame00007.jpg 334.20 318.24 441.34 318.17 448.94 460.69 341.80 460.76
frame00008.jpg 334.17 318.25 441.41 317.90 449.13 460.14 341.89 460.49
frame00009.jpg 334.25 318.21 440.82 318.45 448.06 461.06 341.49 460.81
frame00010.jpg 334.23 318.25 441.33 318.04 448.77 460.64 341.67 460.85
frame00011.jpg 334.19 318.19 440.97 318.33 448.29 461.33 341.51 461.19
frame00012.jpg 334.21 318.21 441.20 318.25 448.48 460.93 341.49 460.89
frame00013.jpg 334.21 318.25 441.45 317.80 449.13 460.15 341.89 460.61
frame00014.jpg 334.15 318.24 441.95 317.64 449.63 460.16 341.83 460.76
frame00015.jpg 334.30 318.33 441.08 317.77 448.32 459.97 341.54 460.53
frame00016.jpg 334.15 318.24 441.32 318.27 449.00 460.72 341.83 460.68
frame00017.jpg 334.08 318.06 441.78 318.51 449.78 461.72 342.08 461.26
frame00018.jpg 334.13 318.14 441.16 318.42 449.00 461.46 341.97 461.18
frame00019.jpg 334.07 318.12 441.66 318.19 449.62 461.63 342.03 461.56
frame00020.jpg 334.17 318.25 441.51 317.73 449.19 460.13 341.85 460.65
frame00021.jpg 334.21 318.19 441.56 317.88 449.08 460.64 341.73 460.95
frame00022.jpg 334.23 318.31 441.40 317.58 449.16 459.62 341.99 460.35
frame00023.jpg 334.19 318.10 441.39 318.31 449.04 461.35 341.83 461.14
frame00024.jpg 334.19 318.20 441.29 318.13 448.85 460.85 341.75 460.92
frame00025.jpg 334.18 318.22 441.66 317.87 449.22 460.27 341.74 460.62
frame00026.jpg 334.13 318.10 441.58 317.96 449.38 461.40 341.93 461.54
frame00027.jpg 334.13 318.20 441.61 318.17 449.65 460.72 342.17 460.76
frame00028.jpg 334.05 318.18 442.16 317.90 450.12 460.78 342.01 461.06
frame00029.jpg 334.15 318.20 441.53 318.20 449.45 460.88 342.07 460.88
frame00030.jpg 334.22 318.12 441.53 318.37 448.77 461.37 341.46 461.12
frame00031.jpg 334.15 318.24 441.67 318.06 449.31 460.62 341.79 460.80
frame00032.jpg 334.23 318.30 441.01 318.33 448.25 460.25 341.47 460.22
frame00033.jpg 334.27 318.32 441.16 317.69 448.40 459.65 341.51 460.28
frame00034.jpg 334.19 318.14 441.25 318.35 448.73 461.51 341.67 461.30
frame00035.jpg 334.15 318.22 441.85 317.87 449.57 460.51 341.87 460.86
frame00036.jpg 334.18 318.10 441.53 318.38 449.12 461.50 341.78 461.22
frame00037.jpg 334.18 318.20 441.38 318.13 449.14 460.97 341.94 461.04
