 A one-man musical phenomenon | Jacob Collier
 How we can stop Africa's scientific brain drain | Kevin Njabo
 Want to be more creative? Go for a walk | Marily Oppezzo
 How record collectors find lost music and preserve our cultural heritage | Alexis Charpentier
 Medical tech designed to meet Africa's needs | Soyapi Mumba
 How adaptive clothing empowers people with disabilities | Mindy Scheier
 The power of citizen video to create undeniable truths | Yvette Alberdingk Thijm
 A vehicle built in Africa
 The history of human emotions | Tiffany Watt Smith
 Want to get great at something? Get a coach | Atul Gawande
 How China is changing the future of shopping | Angela Wang
 Inside Africa's thriving art scene | Touria El Glaoui
 Mammoths resurrected and other thoughts from a futurist | Stewart Brand and Chris Anderson
 What we don't teach kids about sex | Sue Jaye Johnson
 Our treatment of HIV has advanced. Why hasn't the stigma changed? | Arik Hartmann
 3 thoughtful ways to conserve water | Lana Mazahreh
 Photos of Africa
 You aren't at the mercy of your emotions -- your brain creates them | Lisa Feldman Barrett
 How adoption worked for me | Christopher Ategeka
 "Good" and "bad" are incomplete stories we tell ourselves | Heather Lanier
 The next generation of African architects and designers | Christian Benimana
 See how the rest of the world lives
 A new weapon in the fight against superbugs | David Brenner
 Success stories from Kenya's first makerspace | Kamau Gachigi
 Lessons from a solar storm chaser | Miho Janvier
 A mother and son united by love and art | Deborah Willis and Hank Willis Thomas
 Free yourself from your filter bubbles | Joan Blades and John Gable
 Adventures of an interplanetary architect | Xavier De Kestelier
 How augmented reality could change the future of surgery | Nadine Hachach-Haram
 How urban agriculture is transforming Detroit | Devita Davison
 What makes something go viral? | Dao Nguyen
 The secret language of letter design (with English subtitles) | Martina Flor
 The brain benefits of deep sleep -- and how to get more of it | Dan Gartenberg
 Why I'm done trying to be "man enough" | Justin Baldoni
 How fake handbags fund terrorism and organized crime | Alastair Gray
 Get comfortable with being uncomfortable | Luvvie Ajayi
 A Republican mayor's plan to replace partisanship with policy | G.T. Bynum
 What AI is -- and isn't | Sebastian Thrun and Chris Anderson
 Fashion has a pollution problem -- can biology fix it? | Natsai Audrey Chieza
 The future of good food in China | Matilda Ho
 How we're using drones to deliver blood and save lives | Keller Rinaudo
 The science of cells that never get old | Elizabeth Blackburn
 An interview with the Queen of Creole Cuisine | Leah Chase and Pat Mitchell
 How can groups make good decisions? | Mariano Sigman and Dan Ariely
 Activism needs introverts | Sarah Corbett
 How Amazon
 The hidden opportunities of the informal economy | Niti Bhan
 How to transform apocalypse fatigue into action on global warming | Per Espen Stoknes
 Why do I make art? To build time capsules for my heritage | Kayla BriÃ«t
 I don't want children -- stop telling me I'll change my mind | Christen Reighter
 How my dad's dementia changed my idea of death (and life) | Beth Malone
 How the military fights climate change | David Titley
 The Housing First approach to homelessness | Lloyd Pendleton
 How to talk (and listen) to transgender people | Jackson Bird
 What I learned serving time for a crime I didn't commit | Teresa Njoroge
 How judges can show respect | Victoria Pratt
 The biggest risks facing cities -- and some solutions | Robert Muggah
 We should aim for perfection -- and stop fearing failure | Jon Bowers
 Why wildfires have gotten worse -- and what we can do about it | Paul Hessburg
 Why women stay silent after sexual assault (with English subtitles) | InÃ©s Hercovich
 For the love of birds | Washington Wachira
 The global learning crisis -- and what to do about it | Amel Karboul
 The surprisingly charming science of your gut | Giulia Enders
 Sci-fi stories that imagine a future Africa | Nnedi Okorafor
 How to win at evolution and survive a mass extinction | Lauren Sallan
 Can we stop climate change by removing CO2 from the air? | Tim Kruger
 The future of storytelling | Shonda Rhimes and Cyndi Stivers
 We're building a dystopia just to make people click on ads | Zeynep Tufekci
 The awful logic of land mines -- and an app that helps people avoid them | Carlos Bautista
 How we'll earn money in a future without jobs | Martin Ford
 How diversity makes teams more innovative | RocÃ­o Lorenzo
