confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision
0.0	75.45731093924786	82.17539299660505	0.0	75.67464373249064	82.09272247370949	0.0	75.7703220245169	82.08427971185819	0.0	75.85142502532793	82.00006615798527	0.0	75.87170077553068	81.69061765773964	0.0	76.07763265079838	81.25816571065263	0.0	76.31841556748404	80.92773746829165	0.0	76.37354235910477	80.38513406872282	0.0	76.8145566920706	78.83711418426684
0.001	75.45731093924786	82.17539299660505	0.001	75.67464373249064	82.09272247370949	0.001	75.7703220245169	82.08427971185819	0.001	75.85142502532793	82.00006615798527	0.001	75.87170077553068	81.69061765773964	0.001	76.07763265079838	81.25816571065263	0.001	76.31841556748404	80.92773746829165	0.001	76.37354235910477	80.38513406872282	0.001	76.8145566920706	78.83711418426684
0.002	75.45731093924786	82.17539299660505	0.002	75.67464373249064	82.09272247370949	0.002	75.7703220245169	82.08427971185819	0.002	75.85142502532793	82.00006615798527	0.002	75.87170077553068	81.69061765773964	0.002	76.07763265079838	81.25816571065263	0.002	76.31841556748404	80.92773746829165	0.002	76.37354235910477	80.38513406872282	0.002	76.8145566920706	78.83711418426684
0.003	75.45731093924786	82.17539299660505	0.003	75.67464373249064	82.09272247370949	0.003	75.7703220245169	82.08427971185819	0.003	75.85142502532793	82.00006615798527	0.003	75.87170077553068	81.69061765773964	0.003	76.07763265079838	81.25816571065263	0.003	76.31841556748404	80.92773746829165	0.003	76.37354235910477	80.38513406872282	0.003	76.8145566920706	78.83711418426684
0.004	75.45731093924786	82.17539299660505	0.004	75.67464373249064	82.09272247370949	0.004	75.7703220245169	82.08427971185819	0.004	75.85142502532793	82.00006615798527	0.004	75.87170077553068	81.69061765773964	0.004	76.07763265079838	81.25816571065263	0.004	76.31841556748404	80.92773746829165	0.004	76.37354235910477	80.38513406872282	0.004	76.8145566920706	78.83711418426684
0.005	75.45731093924786	82.17539299660505	0.005	75.67464373249064	82.09272247370949	0.005	75.7703220245169	82.08427971185819	0.005	75.85142502532793	82.00006615798527	0.005	75.87170077553068	81.69061765773964	0.005	76.07763265079838	81.25816571065263	0.005	76.31841556748404	80.92773746829165	0.005	76.37354235910477	80.38513406872282	0.005	76.8145566920706	78.83711418426684
0.006	75.45731093924786	82.17539299660505	0.006	75.67464373249064	82.09272247370949	0.006	75.7703220245169	82.08427971185819	0.006	75.85142502532793	82.00006615798527	0.006	75.87170077553068	81.69061765773964	0.006	76.07763265079838	81.25816571065263	0.006	76.31841556748404	80.92773746829165	0.006	76.37354235910477	80.38513406872282	0.006	76.8145566920706	78.83711418426684
0.007	75.45731093924786	82.17539299660505	0.007	75.67464373249064	82.09272247370949	0.007	75.7703220245169	82.08427971185819	0.007	75.85142502532793	82.00006615798527	0.007	75.87170077553068	81.69061765773964	0.007	76.07763265079838	81.25816571065263	0.007	76.31841556748404	80.92773746829165	0.007	76.37354235910477	80.38513406872282	0.007	76.8145566920706	78.83711418426684
0.008	75.45731093924786	82.17539299660505	0.008	75.67464373249064	82.09272247370949	0.008	75.7703220245169	82.08427971185819	0.008	75.85142502532793	82.00006615798527	0.008	75.87170077553068	81.69061765773964	0.008	76.07763265079838	81.25816571065263	0.008	76.31841556748404	80.92773746829165	0.008	76.37354235910477	80.38513406872282	0.008	76.8145566920706	78.83711418426684
0.009	75.45731093924786	82.17539299660505	0.009	75.67464373249064	82.09272247370949	0.009	75.7703220245169	82.08427971185819	0.009	75.85142502532793	82.00006615798527	0.009	75.87170077553068	81.69061765773964	0.009	76.07763265079838	81.25816571065263	0.009	76.31841556748404	80.92773746829165	0.009	76.37354235910477	80.38513406872282	0.009	76.8145566920706	78.83711418426684
