confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.001	18.339099884033203	0.0	0.001	18.29689216613769	0.0	0.001	18.25487899780273	0.0	0.001	18.129987716674805	0.0	0.001	17.865169525146484	0.0	0.001	17.152103424072266	0.0	0.001	16.73684310913086	0.0	0.001	16.597076416015625	0.0	0.001	16.290983200073242	0.0
0.002	23.18338966369629	0.0	0.002	23.130033493041992	0.0	0.002	23.076923370361328	0.0	0.002	22.919042587280277	0.0	0.002	22.58427047729492	0.0	0.002	21.68284797668457	0.0	0.002	21.157894134521484	0.0	0.002	20.981210708618164	0.0	0.002	20.594261169433597	0.0
0.003	26.297578811645508	0.0	0.003	26.23705291748047	0.0	0.003	26.176807403564453	0.0	0.003	25.99771881103516	0.0	0.003	25.617977142333984	0.0	0.003	24.595468521118164	0.0	0.003	24.0	0.0	0.003	23.79958152770996	0.0	0.003	23.36065673828125	0.0
0.004	28.95040512084961	0.0	0.004	28.883773803710938	0.0	0.004	28.81745147705078	0.0	0.004	28.620296478271484	0.0	0.004	28.202247619628903	0.0	0.004	27.076589584350582	0.0	0.004	26.421052932739254	0.0	0.004	26.200416564941406	0.0	0.004	25.717214584350582	0.0
0.005	30.103805541992188	0.0	0.005	30.034521102905277	0.0	0.005	29.96555519104004	0.0	0.005	29.760547637939453	0.0	0.005	29.32584381103516	0.0	0.005	28.15533828735352	0.0	0.005	27.47368431091309	0.0	0.005	27.244258880615234	0.0	0.005	26.74180221557617	0.0
0.006	31.37255096435547	0.0	0.006	31.30034446716309	0.0	0.006	31.22847366333008	0.0	0.006	31.01482391357422	0.0	0.006	30.561798095703125	0.0	0.006	29.34196281433105	0.0	0.006	28.631580352783203	0.0	0.006	28.392484664916992	0.0	0.006	27.868852615356445	0.0
0.007	31.71857070922852	0.0	0.007	31.64556884765625	0.0	0.007	31.572904586791992	0.0	0.007	31.356897354125977	0.0	0.007	30.898874282836918	0.0	0.007	29.66558837890625	0.0	0.007	28.94736862182617	0.0	0.007	28.70563507080078	0.0	0.007	28.17622947692871	0.0
0.008	32.75663375854492	0.0	0.008	32.68124008178711	0.0	0.008	32.606201171875	0.0	0.008	32.38312149047852	0.0	0.008	31.910112380981445	0.0	0.008	30.636463165283203	0.0	0.008	29.894737243652344	0.0	0.008	29.64509391784668	0.0	0.008	29.09836196899414	0.0
0.009	33.67935562133789	0.0	0.009	33.60184097290039	0.0	0.009	33.52468490600586	0.0	0.009	33.29532623291016	0.0	0.009	32.808990478515625	0.0	0.009	31.499460220336918	0.0	0.009	30.73684310913086	0.0	0.009	30.480167388916016	0.0	0.009	29.91803359985352	0.0
0.01	34.48673629760742	0.0	0.01	34.40736389160156	0.0	0.01	34.3283576965332	0.0	0.01	34.09349822998047	0.0	0.01	33.59550476074219	0.0	0.01	32.25458526611328	0.0	0.01	31.47368431091309	0.0	0.01	31.21085548400879	0.0	0.01	30.63524627685547	0.0
0.011	34.948097229003906	0.0	0.011	34.8676643371582	0.0	0.011	34.787601470947266	0.0	0.011	34.549598693847656	0.0	0.011	34.044944763183594	0.0	0.011	32.68608474731445	0.0	0.011	31.894737243652344	0.0	0.011	31.62839126586914	0.0	0.011	31.04508209228516	0.0
0.012	35.52479553222656	0.0	0.012	35.44303894042969	0.0	0.012	35.36165237426758	0.0	0.012	35.119728088378906	0.0	0.012	34.60674285888672	0.0	0.012	33.225460052490234	0.0	0.012	32.421051025390625	0.0	0.012	32.15031433105469	0.0	0.012	31.5573787689209	0.0
0.013	36.33218002319336	0.0	0.013	36.24856185913086	0.0	0.013	36.16532516479492	0.0	0.013	35.91790008544922	0.0	0.013	35.39325714111328	0.0	0.013	33.9805793762207	0.0	0.013	33.157894134521484	0.0	0.013	32.88100051879883	0.0	0.013	32.27458953857422	0.0
0.014	36.56285858154297	0.0	0.014	36.47871017456055	0.0	0.014	36.39494705200195	0.0	0.014	36.14595413208008	0.0	0.014	35.617977142333984	0.0	0.014	34.19633102416992	0.0	0.014	33.3684196472168	0.0	0.014	33.08976745605469	0.0	0.014	32.47950744628906	0.0
0.015	37.13956069946289	0.0	0.015	37.05408477783203	0.0	0.015	36.96900177001953	0.0	0.015	36.7160758972168	0.0	0.015	36.17977523803711	0.0	0.015	34.7357063293457	0.0	0.015	33.894737243652344	0.0	0.015	33.611690521240234	0.0	0.015	32.99180221557617	0.0
0.016	37.94694137573242	0.0	0.016	37.85961151123047	0.0	0.016	37.77267456054688	0.0	0.016	37.51425552368164	0.0	0.016	36.96628952026367	0.0	0.016	35.4908332824707	0.0	0.016	34.6315803527832	0.0	0.016	34.34238052368164	0.0	0.016	33.709014892578125	0.0
0.017	38.1776237487793	0.0	0.017	38.08975982666016	0.0	0.017	38.00229644775391	0.0	0.017	37.74230194091797	0.0	0.017	37.19101333618164	0.0	0.017	35.706581115722656	0.0	0.017	34.84210586547852	0.0	0.017	34.551151275634766	0.0	0.017	33.91393280029297	0.0
0.018	38.408302307128906	0.0	0.018	38.31990814208984	0.0	0.018	38.23191833496094	0.0	0.018	37.97035217285156	0.0	0.018	37.41572952270508	0.0	0.018	35.92232894897461	0.0	0.018	35.05263137817383	0.0	0.018	34.759918212890625	0.0	0.018	34.11885070800781	0.0
0.019	38.75432586669922	0.0	0.019	38.66513442993164	0.0	0.019	38.57635116577149	0.0	0.019	38.31242752075195	0.0	0.019	37.752811431884766	0.0	0.019	36.24595260620117	0.0	0.019	35.36842346191406	0.0	0.019	35.07307052612305	0.0	0.019	34.426231384277344	0.0
0.02	38.86966323852539	0.0	0.02	38.78020477294922	0.0	0.02	38.69115829467773	0.0	0.02	38.42645263671875	0.0	0.02	37.86516952514648	0.0	0.02	36.35382843017578	0.0	0.02	35.47368240356445	0.0	0.02	35.17745590209961	0.0	0.02	34.5286865234375	0.0
0.021	39.2156867980957	0.0428449027240276	0.021	39.125431060791016	0.0426803231239318	0.021	39.03559112548828	0.0426439233124256	0.021	38.768531799316406	0.0425713062286376	0.021	38.202247619628906	0.0425170063972473	0.021	36.67745208740234	0.0424808822572231	0.021	35.78947448730469	0.0424268133938312	0.021	35.490604400634766	0.0423011854290962	0.021	34.83606719970703	0.0418760478496551
0.022	39.67704772949219	0.0428449027240276	0.022	39.585731506347656	0.0426803231239318	0.022	39.49483489990234	0.0426439233124256	0.022	39.2246322631836	0.0425713062286376	0.022	38.65168380737305	0.0425170063972473	0.022	37.10895538330078	0.0424808822572231	0.022	36.21052551269531	0.0424268133938312	0.022	35.90814208984375	0.0423011854290962	0.022	35.24590301513672	0.0418760478496551
0.023	40.023067474365234	0.0428449027240276	0.023	39.93095397949219	0.0426803231239318	0.023	39.839263916015625	0.0426439233124256	0.023	39.56670379638672	0.0425713062286376	0.023	38.98876190185547	0.0425170063972473	0.023	37.432579040527344	0.0424808822572231	0.023	36.52631759643555	0.0424268133938312	0.023	36.22129440307617	0.0423011854290962	0.023	35.553279876708984	0.0418760478496551
0.024	40.48442840576172	0.0428449027240276	0.024	40.39125442504883	0.0426803231239318	0.024	40.29850769042969	0.0426439233124256	0.024	40.02280426025391	0.0425713062286376	0.024	39.43820190429688	0.0425170063972473	0.024	37.86407852172852	0.0424808822572231	0.024	36.94736862182617	0.0424268133938312	0.024	36.63883209228516	0.0423011854290962	0.024	35.96311569213867	0.0418760478496551
0.025	40.715110778808594	0.0428449027240276	0.025	40.62140274047852	0.0426803231239318	0.025	40.52812576293945	0.0426439233124256	0.025	40.2508544921875	0.0425713062286376	0.025	39.66292190551758	0.0425170063972473	0.025	38.07982635498047	0.0424808822572231	0.025	37.15789794921875	0.0424268133938312	0.025	36.847599029541016	0.0423011854290962	0.025	36.16803359985352	0.0418760478496551
0.026	41.06113052368164	0.0428449027240276	0.026	40.96662521362305	0.0426803231239318	0.026	40.87255859375	0.0426439233124256	0.026	40.59292984008789	0.0425713062286376	0.026	40.0	0.0425170063972473	0.026	38.40345001220703	0.0424808822572231	0.026	37.47368621826172	0.0424268133938312	0.026	37.16075134277344	0.0423011854290962	0.026	36.47541046142578	0.0418760478496551
