confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.001	17.549667358398438	0.0	0.001	17.51101303100586	0.0	0.001	17.491748809814453	0.0	0.001	17.37704849243164	0.0	0.001	17.133621215820312	0.0	0.001	16.476682662963867	0.0	0.001	16.093116760253906	0.0	0.001	15.963855743408203	0.0	0.001	15.680474281311035	0.0
0.002	22.1854305267334	0.0	0.002	22.136564254760746	0.0	0.002	22.112211227416992	0.0	0.002	21.967212677001957	0.0	0.002	21.659482955932617	0.0	0.002	20.829015731811523	0.0	0.002	20.34412956237793	0.0	0.002	20.180723190307617	0.0	0.002	19.822484970092773	0.0
0.003	25.165563583374023	0.0	0.003	25.110132217407227	0.0	0.003	25.082508087158203	0.0	0.003	24.91803359985352	0.0	0.003	24.568965911865234	0.0	0.003	23.62694358825684	0.0	0.003	23.076923370361328	0.0	0.003	22.891565322875977	0.0	0.003	22.485206604003903	0.0
0.004	27.704195022583008	0.0	0.004	27.643171310424805	0.0	0.004	27.61276054382324	0.0	0.004	27.43169403076172	0.0	0.004	27.047412872314453	0.0	0.004	26.01036071777344	0.0	0.004	25.404857635498047	0.0	0.004	25.200801849365234	0.0	0.004	24.75345230102539	0.0
0.005	28.80794715881348	0.0	0.005	28.74449157714844	0.0	0.005	28.712871551513672	0.0	0.005	28.52458953857422	0.0	0.005	28.125	0.0	0.005	27.046632766723636	0.0	0.005	26.41700553894043	0.0	0.005	26.204818725585938	0.0	0.005	25.739646911621094	0.0
0.006	30.02207565307617	0.0	0.006	29.95594787597656	0.0	0.006	29.922992706298828	0.0	0.006	29.726776123046875	0.0	0.006	29.31034469604492	0.0	0.006	28.1865291595459	0.0	0.006	27.530363082885746	0.0	0.006	27.309236526489254	0.0	0.006	26.8244571685791	0.0
0.007	30.353200912475582	0.0	0.007	30.28634452819824	0.0	0.007	30.25302505493164	0.0	0.007	30.054643630981445	0.0	0.007	29.633621215820312	0.0	0.007	28.49740982055664	0.0	0.007	27.834007263183597	0.0	0.007	27.610441207885746	0.0	0.007	27.12031555175781	0.0
0.008	31.346576690673828	0.0	0.008	31.27753448486328	0.0	0.008	31.24312400817871	0.0	0.008	31.03825187683105	0.0	0.008	30.60344696044922	0.0	0.008	29.430051803588867	0.0	0.008	28.74493980407715	0.0	0.008	28.514057159423828	0.0	0.008	28.007888793945312	0.0
0.009	32.22957992553711	0.0	0.009	32.15858840942383	0.0	0.009	32.12321090698242	0.0	0.009	31.912569046020508	0.0	0.009	31.465518951416016	0.0	0.009	30.25906753540039	0.0	0.009	29.554656982421875	0.0	0.009	29.31726837158203	0.0	0.009	28.79684257507324	0.0
0.01	33.00220489501953	0.0	0.01	32.92951583862305	0.0	0.01	32.893287658691406	0.0	0.01	32.67759704589844	0.0	0.01	32.219825744628906	0.0	0.01	30.984455108642575	0.0	0.01	30.263158798217773	0.0	0.01	30.020078659057617	0.0	0.01	29.487180709838867	0.0
0.011	33.44370651245117	0.0	0.011	33.37004470825195	0.0	0.011	33.333335876464844	0.0	0.011	33.11475372314453	0.0	0.011	32.65085983276367	0.0	0.011	31.398963928222656	0.0	0.011	30.66801643371582	0.0	0.011	30.42168617248535	0.0	0.011	29.88165664672852	0.0
0.012	33.995582580566406	0.0	0.012	33.92070388793945	0.0	0.012	33.88338851928711	0.0	0.012	33.66120147705078	0.0	0.012	33.18965530395508	0.0	0.012	31.91709899902344	0.0	0.012	31.174091339111328	0.0	0.012	30.923694610595703	0.0	0.012	30.374753952026367	0.0
0.013	34.768211364746094	0.0	0.013	34.691627502441406	0.0	0.013	34.653465270996094	0.0	0.013	34.426231384277344	0.0	0.013	33.943965911865234	0.0	0.013	32.642486572265625	0.0	0.013	31.88258934020996	0.0	0.013	31.62650489807129	0.0	0.013	31.065088272094727	0.0
0.014	34.98896408081055	0.0	0.014	34.911895751953125	0.0	0.014	34.87348937988281	0.0	0.014	34.64480972290039	0.0	0.014	34.159481048583984	0.0	0.014	32.84973907470703	0.0	0.014	32.085018157958984	0.0	0.014	31.82731056213379	0.0	0.014	31.262325286865234	0.0
0.015	35.54084014892578	0.0	0.015	35.462554931640625	0.0	0.015	35.42354202270508	0.0	0.015	35.19125747680664	0.0	0.015	34.69827651977539	0.0	0.015	33.36787414550781	0.0	0.015	32.59109115600586	0.0	0.015	32.32931900024414	0.0	0.015	31.75542449951172	0.0
0.016	36.3134651184082	0.0	0.016	36.23347854614258	0.0	0.016	36.19361877441406	0.0	0.016	35.95628356933594	0.0	0.016	35.45258712768555	0.0	0.016	34.093265533447266	0.0	0.016	33.29959487915039	0.0	0.016	33.032127380371094	0.0	0.016	32.44575881958008	0.0
0.017	36.534217834472656	0.0	0.017	36.45374298095703	0.0	0.017	36.41364288330078	0.0	0.017	36.17486190795898	0.0	0.017	35.66810607910156	0.0	0.017	34.30051803588867	0.0	0.017	33.50202560424805	0.0	0.017	33.23292922973633	0.0	0.017	32.64299774169922	0.0
0.018	36.75496673583984	0.0	0.018	36.67400741577149	0.0	0.018	36.63366317749024	0.0	0.018	36.3934440612793	0.0	0.018	35.88362121582031	0.0	0.018	34.50777053833008	0.0	0.018	33.70445251464844	0.0	0.018	33.43373489379883	0.0	0.018	32.84023666381836	0.0
0.019	37.08609390258789	0.0	0.019	37.0044059753418	0.0	0.019	36.96369552612305	0.0	0.019	36.721309661865234	0.0	0.019	36.20689392089844	0.0	0.019	34.81865310668945	0.0	0.019	34.00809860229492	0.0	0.019	33.73493957519531	0.0	0.019	33.13609313964844	0.0
