confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.001	18.38150405883789	0.0	0.001	18.38150405883789	0.0	0.001	18.339099884033203	0.0	0.001	18.275861740112305	0.0	0.001	18.29689216613769	0.0	0.001	18.233943939208984	0.0	0.001	18.109338760375977	0.0	0.001	17.966102600097656	0.0	0.001	17.66666603088379	0.0
0.002	23.23699378967285	0.0	0.002	23.23699378967285	0.0	0.002	23.18338966369629	0.0	0.002	23.10344886779785	0.0	0.002	23.130033493041992	0.0	0.002	23.05045890808105	0.0	0.002	22.8929386138916	0.0	0.002	22.711864471435547	0.0	0.002	22.333332061767575	0.0
0.003	26.358381271362305	0.0	0.003	26.358381271362305	0.0	0.003	26.297578811645508	0.0	0.003	26.20689582824707	0.0	0.003	26.23705291748047	0.0	0.003	26.14678955078125	0.0	0.003	25.968111038208008	0.0	0.003	25.76271247863769	0.0	0.003	25.333332061767575	0.0
0.004	29.01734161376953	0.0	0.004	29.01734161376953	0.0	0.004	28.95040512084961	0.0	0.004	28.85057258605957	0.0	0.004	28.883773803710938	0.0	0.004	28.78440284729004	0.0	0.004	28.58769989013672	0.0	0.004	28.3615837097168	0.0	0.004	27.888887405395508	0.0
0.005	30.17340850830078	0.0	0.005	30.17340850830078	0.0	0.005	30.103805541992188	0.0	0.005	30.000001907348636	0.0	0.005	30.034521102905277	0.0	0.005	29.93119430541992	0.0	0.005	29.726652145385746	0.0	0.005	29.49152565002441	0.0	0.005	29.0	0.0
0.006	31.44508552551269	0.0	0.006	31.44508552551269	0.0	0.006	31.37255096435547	0.0	0.006	31.264368057250977	0.0	0.006	31.30034446716309	0.0	0.006	31.19266128540039	0.0	0.006	30.97949981689453	0.0	0.006	30.734464645385746	0.0	0.006	30.22222137451172	0.0
0.007	31.79190826416016	0.0	0.007	31.79190826416016	0.0	0.007	31.71857070922852	0.0	0.007	31.60919570922852	0.0	0.007	31.64556884765625	0.0	0.007	31.536697387695312	0.0	0.007	31.321186065673828	0.0	0.007	31.07344436645508	0.0	0.007	30.55555534362793	0.0
0.008	32.83237075805664	0.0	0.008	32.83237075805664	0.0	0.008	32.75663375854492	0.0	0.008	32.643680572509766	0.0	0.008	32.68124008178711	0.0	0.008	32.56880569458008	0.0	0.008	32.34624099731445	0.0	0.008	32.09039688110352	0.0	0.008	31.555553436279297	0.0
0.009	33.757225036621094	0.0	0.009	33.757225036621094	0.0	0.009	33.67935562133789	0.0	0.009	33.56321716308594	0.0	0.009	33.60184097290039	0.0	0.009	33.486236572265625	0.0	0.009	33.25740432739258	0.0	0.009	32.99435043334961	0.0	0.009	32.44444274902344	0.0
0.01	34.56647491455078	0.0	0.01	34.56647491455078	0.0	0.01	34.48673629760742	0.0	0.01	34.36781311035156	0.0	0.01	34.40736389160156	0.0	0.01	34.28899002075195	0.0	0.01	34.05466842651367	0.0	0.01	33.785308837890625	0.0	0.01	33.22222137451172	0.0
