confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.001	17.588497161865234	0.0	0.001	17.588497161865234	0.0	0.001	17.569061279296875	0.0	0.001	17.51101303100586	0.0	0.001	17.530319213867188	0.0	0.001	17.4725284576416	0.0	0.001	17.358078002929688	0.0	0.001	17.2264347076416	0.0	0.001	16.950958251953125	0.0
0.002	22.23451232910156	0.0	0.002	22.23451232910156	0.0	0.002	22.209945678710938	0.0	0.002	22.136564254760746	0.0	0.002	22.160968780517575	0.0	0.002	22.08791160583496	0.0	0.002	21.9432315826416	0.0	0.002	21.77681541442871	0.0	0.002	21.428571701049805	0.0
0.003	25.221237182617188	0.0	0.003	25.221237182617188	0.0	0.003	25.193368911743164	0.0	0.003	25.110132217407227	0.0	0.003	25.1378173828125	0.0	0.003	25.054946899414062	0.0	0.003	24.89082908630371	0.0	0.003	24.702058792114254	0.0	0.003	24.307037353515625	0.0
0.004	27.765485763549805	0.0	0.004	27.765485763549805	0.0	0.004	27.73480796813965	0.0	0.004	27.643171310424805	0.0	0.004	27.67364883422852	0.0	0.004	27.58241844177246	0.0	0.004	27.401744842529297	0.0	0.004	27.19393348693848	0.0	0.004	26.75906181335449	0.0
0.005	28.87168312072754	0.0	0.005	28.87168312072754	0.0	0.005	28.839778900146484	0.0	0.005	28.74449157714844	0.0	0.005	28.776185989379883	0.0	0.005	28.681320190429688	0.0	0.005	28.49344825744629	0.0	0.005	28.2773551940918	0.0	0.005	27.825159072875977	0.0
0.006	30.088497161865234	0.0	0.006	30.088497161865234	0.0	0.006	30.055248260498047	0.0	0.006	29.95594787597656	0.0	0.006	29.98897361755371	0.0	0.006	29.890111923217773	0.0	0.006	29.69432258605957	0.0	0.006	29.46912384033203	0.0	0.006	28.99786758422852	0.0
0.007	30.42035484313965	0.0	0.007	30.42035484313965	0.0	0.007	30.38673973083496	0.0	0.007	30.28634452819824	0.0	0.007	30.319734573364254	0.0	0.007	30.21978187561035	0.0	0.007	30.02183532714844	0.0	0.007	29.794151306152344	0.0	0.007	29.31769752502441	0.0
0.008	31.415929794311523	0.0	0.008	31.415929794311523	0.0	0.008	31.381216049194336	0.0	0.008	31.27753448486328	0.0	0.008	31.31201934814453	0.0	0.008	31.20879173278809	0.0	0.008	31.004365921020508	0.0	0.008	30.76923179626465	0.0	0.008	30.27718734741211	0.0
0.009	32.30088424682617	0.0	0.009	32.30088424682617	0.0	0.009	32.265193939208984	0.0	0.009	32.15858840942383	0.0	0.009	32.19404602050781	0.0	0.009	32.087913513183594	0.0	0.009	31.877729415893555	0.0	0.009	31.635969161987305	0.0	0.009	31.13006401062012	0.0
